spCN,sp,tag,gx,gy,dbh,height
Ï¸Ö¦èÚ,EURLOQ,T10070170,197.9,131.2,4.8,2.9
Ï¸Ö¦èÚ,EURLOQ,T24060002,464,101.8,3.8,4.4
»Æµ¤Ä¾½ª×Ó,LITELO,T14040135,266.5,66.5,3.4,4.92
»Æµ¤Ä¾½ª×Ó,LITELO,T23130126,451.5,253.9,8.1,5.2
Ï¸Ö¦èÚ,EURLOQ,T19010045,376.2,9.8,1.8,2.75
Ï¸Ö¦èÚ,EURLOQ,T25030076,481.5,49.6,5.5,5.4
¸Û¿Â,LITHAR,T02200028,23.2,384,16,16.3
¸Û¿Â,LITHAR,T23150095,444.5,293.8,54.7,37.3
É½·¯,SYMSUM,T02150027,22.5,281,2.9,2.45
ÏÙÒ¶¹ðÓ£,LAUPHA,T03200372,43,399.8,6.2,4.63
Ïã¹ð,CINSUB,T01080139,15.3,140.6,12,38.9
ÔÆÉ½Çà¸Ô,CYCSES,T19140172,375,263.5,27.5,11.6
Ã«»¨Á¬Èï²è,CAMFRA,T19170086,369.8,337.8,2,3.3
¹âÁÁÉ½·¯,SYMLUC,T14140064,274.5,270.8,4.1,3.87
¸Û¿Â,LITHAR,T23070265,456.5,135.1,10.9,8.1
¶Ì¹£¶¬Çà,ILEBUE,T11080111,210.1,140.1,14.9,13.3
»ÆÅ£ÄÌÊ÷,SYMCOC,T18150110,344.5,286.5,4.9,4
É½ÊÁ,DIOJAP,T06100213,111.5,189.9,21,9.3
»Æµ¤Ä¾½ª×Ó,LITELO,T06050135,108,92.4,14.3,5.2
Ã«»¨Á¬Èï²è,CAMFRA,T03060332,59.3,116.5,4.5,5.8
Ï¸Ö¦èÚ,EURLOQ,T03110069,43,213,1.5,2.18
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T06110197,112.2,210.3,7,3.02
Ï¸Ö¦èÚ,EURLOQ,T24010147,465.1,14.9,2.3,3.95
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T10040023,181.1,75.6,24.9,21
ÏÙÒ¶¹ðÓ£,LAUPHA,T17190160,338.5,379.7,2.8,4.14
ÏÙÒ¶¹ðÓ£,LAUPHA,T17110060,331,206.2,1.8,2.25
Ã«»¨Á¬Èï²è,CAMFRA,T21090162,407.5,166.3,3,2.1
ÔÆÉ½Çà¸Ô,CYCSES,T23080070,442.8,155.2,3.8,3.85
ºì¶¾Üî,ILLLAN,T04090220,79,179.6,2.9,2.3
»Æµ¤Ä¾½ª×Ó,LITELO,T24150046,478.8,292,8.3,5
Ï¸Ö¦èÚ,EURLOQ,T15170207,294.3,323.8,4.1,4.18
ºìµ­±È,CLEJAP,T19040407,372.7,77.5,2.7,2.16
Ï¸Ö¦èÚ,EURLOQ,T02030055,21.5,49,2.5,3.87
Ï¸Ö¦èÚ,EURLOQ,T09060079,166,117.6,3.1,3.8
±¡Ò¶Èóéª,MACLEP,T18100087,346.2,197.9,1.9,1.76
»Æµ¤Ä¾½ª×Ó,LITELO,T14060151,271,110.3,2.5,3.22
ºì¶¾Üî,ILLLAN,T05100007,99.3,195,11.5,6.5
Ã×éÆ,CASCAR,T07060119,128.5,115.3,13.4,17.2
Ï¸Ö¦èÚ,EURLOQ,T05120436,99.6,228,1.4,2.21
Ï¸Ö¦èÚ,EURLOQ,T21040118,408.5,67,4.2,3.4
Ã«»¨Á¬Èï²è,CAMFRA,T19170142,376.6,323,3.2,4
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T07020226,131.6,24.5,2,1.95
Ï¸Ö¦èÚ,EURLOQ,T11090131,210,179.8,2.4,3.24
Ï¸Ö¦èÚ,EURLOQ,T10100082,187.7,187.7,4.1,3.77
»Æµ¤Ä¾½ª×Ó,LITELO,T04140143,67.8,270.6,13.4,6.2
Ã«»¨Á¬Èï²è,CAMFRA,T24070069,461.7,133.8,2.1,2.4
»Æµ¤Ä¾½ª×Ó,LITELO,T15120171,282.7,230.8,6.5,7
Ã«»¨Á¬Èï²è,CAMFRA,T17150028,334.9,283.2,3,2.94
Ï¸Ö¦èÚ,EURLOQ,T20050240,398,94.2,1.8,2.25
Ã«»¨Á¬Èï²è,CAMFRA,T02080051,30,146.2,2.4,3.64
»Æµ¤Ä¾½ª×Ó,LITELO,T09050231,164.8,81.8,2.9,3.25
Õ­»ùºìºÖèÚ,EURRUB,T22040004,436.2,62,1.8,2.05
Ã«»¨Á¬Èï²è,CAMFRA,T02200311,35,395.3,2.9,3.1
»Æµ¤Ä¾½ª×Ó,LITELO,T14020007,265.4,22.4,5.3,7
Ã«»¨Á¬Èï²è,CAMFRA,T17190081,326.9,364.8,3.8,2.89
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T10030139,193.2,48.1,19.1,18.4
Ã«»¨Á¬Èï²è,CAMFRA,T24150070,471.2,293.5,3.6,3.1
¹âÁÁÉ½·¯,SYMLUC,T23100269,455.2,192,5.8,4.1
Ï¸Ö¦èÚ,EURLOQ,T24060348,476.1,100.5,3.2,3.7
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09170035,166.1,338.9,1.8,2.55
Ã«»¨Á¬Èï²è,CAMFRA,T17190064,327.1,377,3.7,2.98
³àÑîÒ¶,ALNFOR,T15030176,290.2,48.1,10.7,7
Ï¸´ÌèÛ¹Ç,ILEHYL,T16030014,303,47.1,1.8,2.9
Ã«»¨Á¬Èï²è,CAMFRA,T15080059,299.2,158.2,1.3,2.38
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01150345,7.5,297,10.4,8
Ï¸Ö¦èÚ,EURLOQ,T19010211,364.8,1.5,3.9,3.15
Ã«ÂöéÊ,ACEPUB,T04150052,75.8,285.1,16.4,16.4
ÏÙÒ¶¹ðÓ£,LAUPHA,T17110001,320.5,201,3.4,3.67
Ð¡Ò¶Çà¸Ô,CYCMYR,T18060072,358.8,101.3,5.6,4.34
Ä¾ºÉ,SCHSUP,T0117B00778,19.9,320.2,24.6,14.7
ºìµ­±È,CLEJAP,T22090002,435.1,177.5,1.8,3.15
»¢Æ¤éª,DAPOLD,T02070083,20.6,138,2.5,2.1
ºìµ­±È,CLEJAP,T23060064,446.2,105.3,2.3,2.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T19020101,370.8,23,3,4
ºì¶¾Üî,ILLLAN,T04040131,72.6,72.7,1.8,3.02
Ï¸Ö¦èÚ,EURLOQ,T13040215,241.6,71.4,2.2,3.09
³àéª,SYZBUX,T22030114,427.8,50.9,1.7,1.6
Ä¾ºÉ,SCHSUP,T25200033,497.4,397.6,5.9,4.9
Ï¸Ö¦èÚ,EURLOQ,T24050294,475.5,83.7,4.4,4.6
»Æµ¤Ä¾½ª×Ó,LITELO,T12080070,230.1,141,12.8,18.5
É½·¯,SYMSUM,T19100045,373,180.2,7.9,7
Ï¸Ö¦èÚ,EURLOQ,T08140082,148.2,272.4,3.9,3.46
Ï¸Ö¦èÚ,EURLOQ,T20030065,394,42.8,2.5,2.4
Ã«ÂöéÊ,ACEPUB,T24130175,469.5,259.8,22.2,15.4
Ã«»¨Á¬Èï²è,CAMFRA,T16060089,307.6,101.7,1.1,1.96
»ÆÅ£ÄÌÊ÷,SYMCOC,T18170061,359.3,328.5,5.4,3.65
Ï¸Ö¦èÚ,EURLOQ,T13130001,241,242.7,5.9,4.98
ÂíÒø»¨,RHOOVA,T06090250,113.3,169.2,4.1,2.78
ÖÐ»ª¶ÅÓ¢,ELACHI,T07110214,139,209,10.7,5
Ï¸Ö¦èÚ,EURLOQ,T18050058,341.2,83.5,3.5,3.12
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T10040109,188.6,62,1.9,2.7
Õ­»ùºìºÖèÚ,EURRUB,T05200322,84.6,392.7,1.6,2.43
»Æµ¤Ä¾½ª×Ó,LITELO,T18050055,341,85.5,4.3,6
Ï¸Ö¦èÚ,EURLOQ,T21100245,413.5,185.5,1.4,23.5
Ï¸Ö¦èÚ,EURLOQ,T24060012,462.6,101.6,3.7,4.3
Ï¸Ö¦èÚ,EURLOQ,T23080153,450.5,141,3.2,3.2
Ä¾ºÉ,SCHSUP,T11070001,201.1,120.8,25.9,10.8
»ÆÅ£ÄÌÊ÷,SYMCOC,T25170057,499.5,326.7,8.3,3.2
±¡Ò¶É½·¯,SYMANO,T14200333,266.2,395,5.3,4.2
Ï¸Ö¦èÚ,EURLOQ,T05120435,98.8,227.8,3.8,3.44
Ï¸Ö¦èÚ,EURLOQ,T02010136,24.5,18.5,2.6,3.06
»Æµ¤Ä¾½ª×Ó,LITELO,T07040266,122.2,66.8,2.9,3.81
ËÄÕÕ»¨,CORKOU,T21190151,419.5,369,12.3,5.2
ºì¶¾Üî,ILLLAN,T04050011,64.5,81,1.8,2.83
Ï¸Ö¦èÚ,EURLOQ,T11110102,209.7,215,1.7,3.1
É½·¯,SYMSUM,T06090138,110,172.2,4.1,4.25
ºìµ­±È,CLEJAP,T13150163,254,281,4,4.35
ÂíÒø»¨,RHOOVA,T08040147,152.7,68.9,6.5,4.12
ºìµ­±È,CLEJAP,T10020214,197.1,29,5.4,3.97
»Æµ¤Ä¾½ª×Ó,LITELO,T0720B1953,124,398.8,4.5,3.45
ÄÏËáÔæ,CHOAXI,T0914R30812,172.7,266,7.1,7.6
Ð¡Ò¶Çà¸Ô,CYCMYR,T23060074,440.5,104,7.9,2.95
Ïã¹ð,CINSUB,T11150097,214.7,286.5,5.2,5.3
¹âÁÁÉ½·¯,SYMLUC,T24140026,461,269.9,7.9,5
Ã«»¨Á¬Èï²è,CAMFRA,T02010053,24,4.6,1.8,3.08
¹âÁÁÉ½·¯,SYMLUC,T12100045,224.3,188.6,5.6,7
Ïã¹ð,CINSUB,T04110040,64,207,13.2,16.6
ÄÏËáÔæ,CHOAXI,T11070186,217,134.7,23.9,16.1
°×±³Ò¶,MALAPE,T13080092,253.8,148,3,2
Ã×éÆ,CASCAR,T23010257,459.8,17,24.2,15.5
»Æµ¤Ä¾½ª×Ó,LITELO,T09010096,176.2,4,4.6,5
Ï¸Ö¦èÚ,EURLOQ,T09030066,166,55,1.5,2.23
Ï¸Ö¦èÚ,EURLOQ,T09010080,177,14,4.7,6.2
»Æµ¤Ä¾½ª×Ó,LITELO,T16110020,304,208.5,7.6,6.1
¸Û¿Â,LITHAR,T01180019,1.5,356.4,9,5.1
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T08040126,148.8,61.5,1.4,2.86
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T08060057,147,114,5.9,4.45
Ï¸Ö¦èÚ,EURLOQ,T10170032,192.8,323.5,2.2,3.38
É½ºú½·,LINGLA,T13020062,245.6,28.1,2.2,2.7
ºìµ­±È,CLEJAP,T15170162,289.5,329,4.9,4.8
ÂíÒø»¨,RHOOVA,T16180053,311.2,350.3,4.6,3.25
ºìéª,MACTHU,T25120224,485.3,233.6,12,13.9
Ã«»¨Á¬Èï²è,CAMFRA,T20180035,393,351.5,8.1,4.57
ÑîÃ·,MYRRUB,T13040194,240,79.6,18.4,18.5
¶Å¾é,RHOSIM,T09200099,160.5,388.6,4.3,3.36
Ã«»¨Á¬Èï²è,CAMFRA,T02130079,30,257.8,2.4,3.65
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T0216B00875,23,314.8,2.9,3.82
±¡Ò¶Èóéª,MACLEP,T16100093,310.7,181.4,17.7,30.2
»Æµ¤Ä¾½ª×Ó,LITELO,T07090080,127.8,174.8,6.6,5
Ï¸Ö¦èÚ,EURLOQ,T06050289,117,83,3.2,3.55
Ï¸Ö¦èÚ,EURLOQ,T10170129,188,328,4,4.32
Ê¯°ßÄ¾,RHAIND,T07110138,133.5,211.8,2.6,2.3
Ï¸Ö¦èÚ,EURLOQ,T09080253,179,141.8,2.9,3
ÔÆÉ½Çà¸Ô,CYCSES,T22090144,430.8,163,26.5,14.7
¸Û¿Â,LITHAR,T04190174,62.5,373.2,19.5,17.6
Ï¸Ö¦èÚ,EURLOQ,T19020067,379,23.5,7.9,5.5
±¡Ò¶É½·¯,SYMANO,T10060152,197.8,119.9,1.8,3.04
¸Û¿Â,LITHAR,T08130099,146.7,242,28.2,32.6
ºìéª,MACTHU,T08120098,147.9,237.8,3.9,3.56
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T05120288,93.5,225.4,3,3.47
Ï¸Ö¦èÚ,EURLOQ,T17150211,334.9,298.5,3.7,3.92
»Æµ¤Ä¾½ª×Ó,LITELO,T22090211,429.1,178.2,2.5,2.66
ºìéª,MACTHU,T02190132,26.8,363,2.9,3.9
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T03100341,52.1,197.8,1.5,1.9
Ã«»¨Á¬Èï²è,CAMFRA,T11200050,203.9,399,2.1,3
Ï¸Ö¦èÚ,EURLOQ,T20010101,391.8,9.5,4.4,4.1
Ï¸Ö¦èÚ,EURLOQ,T23050317,455.2,96.7,2.7,3.15
Ä¾ºÉ,SCHSUP,T08130103,148,243.3,18.7,22.9
Ï¸Ö¦èÚ,EURLOQ,T25050187,494.7,81.1,4,3.7
¸Û¿Â,LITHAR,T0916B03024,176.1,316,3.4,3.33
Ð¡Ò¶Çà¸Ô,CYCMYR,T22020201,426.1,37,9.8,12
èàÊ÷,CASFAR,T24070121,460.2,120.1,21,12
±¡Ò¶É½·¯,SYMANO,T12130026,240,247.4,1.7,1.92
